,index,country,titre,entreprise,salaire,links,green,red
0,2,fr,Marketing Intern (Remote),Lambda Vision IXXO,Nope,https://fr.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=a5e143be6cbe154e,False,True
1,7,fr,Ingénieur d'Affaires IT H/F - Stage de pré-embauche,NOVEO Group,Nope,https://fr.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=3f28446c6a7bcf5c,False,True
2,11,fr,Business Developer IT H/F - Stage de pré-embauche,NOVEO Group,Nope,https://fr.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=8eda380b179a9500,False,True
3,12,fr,Growth Marketing Intern ( H/F),Coinhouse,Nope,https://fr.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=af2cb9cf06cf7d88,False,True
4,19,fr,Stage de Pré-embauche Data Scientist,Trimane,Nope,https://fr.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&start=10&vjk=76ff4b6de612c288,False,True
5,26,fr,Business Developer IT H/F - Stage de pré-embauche,NOVEO Group,Nope,https://fr.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&start=20&vjk=8eda380b179a9500,False,True
6,27,fr,Growth Marketing Intern ( H/F),Coinhouse,Nope,https://fr.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&start=20&vjk=af2cb9cf06cf7d88,False,True
7,34,fr,Stage de Pré-embauche Data Scientist,Trimane,Nope,https://fr.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&start=20&vjk=76ff4b6de612c288,False,True
8,39,de,"ect Management Intern (Internship, all gender)",THIS IS! Digital Media Group,Nope,https://de.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=caa1ae187523514f,False,True
9,40,de,Praktikum - Legal Tech Startup | Geschäftsführungs Assistent...,PACTA. by BlockAxs GmbH,Nope,https://de.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=51dfd3e7bee521eb,False,True
10,41,de,Business developer / IT sales,AcumenCog,Nope,https://de.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=7db68f86dde46218,False,True
11,44,de,Praktikum als Projektassistent*in (m/w/d) - Legal Tech,PACTA. by BlockAxs GmbH,Nope,https://de.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=84867f5f22ca8e64,False,True
12,48,de,tikant Business Development (m/w/d),Perfect-iD GmbH,Nope,https://de.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=7de1bfe23e0878cd,False,True
13,50,de,Praktikum als Entwickler*in (m/w/d) - Legal Tech,PACTA. by BlockAxs GmbH,Nope,https://de.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=e6520235b4c8272f,False,True
14,54,de,tikum/Master-Thesis Design/Grafik im Marketing (w/m/d),Tangany,Nope,https://de.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&start=10&vjk=3fb5668503c70bd2,False,True
15,58,de,Praktikum als Projektassistent*in (m/w/d) - Legal Tech,PACTA. by BlockAxs GmbH,Nope,https://de.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&start=20&vjk=84867f5f22ca8e64,False,True
16,62,de,tikant Business Development (m/w/d),Perfect-iD GmbH,Nope,https://de.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&start=20&vjk=7de1bfe23e0878cd,False,True
17,65,de,Praktikum als Entwickler*in (m/w/d) - Legal Tech,PACTA. by BlockAxs GmbH,Nope,https://de.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&start=20&vjk=e6520235b4c8272f,False,True
18,69,de,tikum/Master-Thesis Design/Grafik im Marketing (w/m/d),Tangany,Nope,https://de.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&start=20&vjk=3fb5668503c70bd2,False,True
19,87,ch,or Consultant - Financial Services Business Consulting -...,EY,Nope,https://ch.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=fb263db5e5038773,False,True
20,92,nl,Software & Digital Business Development Intern,BO EXCLUSIVES,Nope,https://nl.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=bbfac62498372b59,False,True
