,index,country,titre,entreprise,salaire,links,green,red
25,35,de,ness Development Praktikant Crypto Start-Up,CryptoGoGos,Nope,https://de.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=f576dec25cbfc0e6,False,False
26,36,de,Working Student/Intern DesignOps,Nuri,Nope,https://de.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=070d0f26e8a1e710,False,False
27,37,de,student / Praktikant Digital Media Design (m/w/d),iteratec GmbH,Nope,https://de.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=1bb83ed7b079c03e,False,False
28,38,de,Werkstudent / Praktikant Softwareentwicklung (m/w/d),iteratec GmbH,Nope,https://de.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=9a8a811ae7293fc6,False,False
29,41,de,Praktikum Strategische Geschäftsentwicklung (d/m/w),Twinsity GmbH,Nope,https://de.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=b81629b6d8b61d91,False,False
30,42,de,tikum Software Development (m/w/d),M-Way Solutions GmbH,Nope,https://de.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=e8cee9506b756be4,False,False
31,43,de,Praktikant - Emerging Technologies - Consulting (Financial S...,EY,Nope,https://de.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=8a77053db82f0221,False,False
32,44,de,student/Praktikant - Assistent des CEO -Tech Startup (W/...,Swarm Logistics Technologies,Nope,https://de.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=4fe0ab77a7121ab2,False,False
33,45,uk,rnship Program,Nethermind,Nope,https://uk.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=4ed01697124a5402,False,False
34,46,uk,Internship - Compliance - Bitpanda Pro,Bitpanda,Nope,https://uk.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=1270a00945a99068,False,False
35,47,uk,"or Talent Acquisition Partner, EMEA",Circle,Nope,https://uk.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=ee9387d487943127,False,False
36,48,at,g Talent - Studentischer Mitarbeiter Softwareentwicklung...,iteratec GmbH,Nope,https://at.indeed.com/jobs?q=blockchain&jt=internship&fromage=14&vjk=1e0f840c98e3929d,False,False
